CAP RATE,BBL,price_per_blgd,housenumber,streetname,businessaddrs,ownernames,allcontacts,corpnames,Last sold,HOW MUCH?,Total Income,Total Expenses,Net Income,
141.97%,3073570001,"$650,000.00",4190,BEDFORD AVENUE,3030 OCEAN AVENUE AA 11235,"MAX ROVT (Officer), STEVE QUINONES (SiteManager), ROBERT IZSAK (Agent), ROBERT IZSAK (HeadOfficer)","ROBERT IZSAK (Agent), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; ROBERT IZSAK (HeadOfficer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; MAX ROVT (Officer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; STEVE QUINONES (SiteManager); HARVARD II REALTY LLC (Corporation), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235",HARVARD II REALTY LLC,,,"$1,352,659.00","$429,885.00","$922,774.00",#N/A
115.05%,3069280050,"$1,000,000.00",268,BAY 38TH STREET,3030 OCEAN AVENUE AA 11235,"ROBERT IZSAK (HeadOfficer), MAX ROVT (Officer), SAM KARAPETAN (SiteManager), ROBERT IZSAK (Agent)","ROBERT IZSAK (Agent), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; ROBERT IZSAK (HeadOfficer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; MAX ROVT (Officer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; SAM KARAPETAN (SiteManager); OXFORD II REALTY LLC (Corporation), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235",OXFORD II REALTY LLC,,,"$2,162,725.00","$1,012,183.00","$1,150,542.00",
104.87%,3074220917,"$850,000.00",2440,EAST 29TH STREET,3030 OCEAN AVENUE AA 11235,"ROBERT IZSAK (Agent), ROBERT IZSAK (HeadOfficer), MAX ROVT (Officer), EDGAR KARAPETIAN (SiteManager)","ROBERT IZSAK (Agent), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; ROBERT IZSAK (HeadOfficer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; MAX ROVT (Officer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; EDGAR KARAPETIAN (SiteManager); YALE REALTY LLC (Corporation), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235",YALE REALTY LLC,,,"$1,534,213.00","$642,856.00","$891,357.00",
94.21%,3074640022,"$950,000.00",3030,OCEAN AVENUE,3030 OCEAN AVENUE AA 11235,"ROBERT IZSAK (HeadOfficer), MAX ROVT (Officer), EDDIE MASHA MASHA (SiteManager), ROBERT IZSAK (Agent)","ROBERT IZSAK (Agent), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; ROBERT IZSAK (HeadOfficer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; MAX ROVT (Officer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; EDDIE MASHA MASHA (SiteManager); RIZARO OCEAN AVE LLC (Corporation), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235",RIZARO OCEAN AVE LLC,,,"$1,331,333.00","$436,382.00","$894,951.00",
68.77%,3050060006,"$750,000.00",3111,GLENWOOD ROAD,3030 OCEAN AVENUE AA 11235,"ROBERT IZSAK (Agent), ROBERT IZSAK (HeadOfficer), MAX ROVT (Officer), ELEZI PERPARIM (SiteManager)","ROBERT IZSAK (Agent), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; ROBERT IZSAK (HeadOfficer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; MAX ROVT (Officer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; ELEZI PERPARIM (SiteManager); RIZARO REALTY LLC (Corporation), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235",RIZARO REALTY LLC,,,"$851,296.00","$335,496.00","$515,800.00",
66.14%,1009110064,"$2,906,950.00",443,3 AVENUE,"282F CEDAR BRIDGE AVENUE
LAKEWOOD, NJ 08701","ELLIOT HEIFETZ, HANA FINK, MEIR STEFANSKY, JEAN POMPEE, SECURITAD I (206 206TH EAST 31ST STREET APT2A)",,HS THREE LLC,,,"$2,918,085.00","$995,340.00","$1,922,745.00",
50.49%,3067570031,"$850,000.00",1928,OCEAN AVENUE,3030 OCEAN AVENUE AA 11235,"ROBERT IZSAK (HeadOfficer), MAX ROVT (Officer), ROBERT IZSAK (Agent)","ROBERT IZSAK (Agent), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; ROBERT IZSAK (HeadOfficer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; MAX ROVT (Officer), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235; RIZARO 1940 LLC (Corporation), 3030 OCEAN AVENUE AA BROOKLYN, NY 11235",RIZARO 1940 LLC,,,"$782,320.00","$353,197.00","$429,123.00",
47.30%,3026250040,"$760,000.00",130,DIAMOND STREET,"82 halsey street brooklyn, ny 11216",EDWARD VAYS,"SUNILDA DE LOS SANTOS, BENJAMIN SMUK, MARCELO LEON",HEB DIAMOND LLC,"2/18/21 for $1,000,000 https://whoownswhat.justfix.org/en/address/BROOKLYN/130/DIAMOND%20STREET","$1,000,000.00","$410,313.00","$50,801.00","$359,512.00",
35.95%,3026250040,"$1,000,000.00","same as previous one, probably MORE accurate price",,,,,,,,"$410,313.00","$50,801.00","$359,512.00",
33.43%,1012710059,"$353,000.00",38,west 56 street,"250 WEST 57TH STREET 720
NEW YORK, NY 10107","RUSSELL NYPE, MAGDALENA KOSZ (THEY ARE TONS OF ASSOCIATED BUILDINGS ACCORDING TO WHOOWNSWHAT)","TIMOTHY POPKO,",A.J. CLARKE REAL ESTAE CORP. (YES IT'S WRITTEN WITH A TYPO WHOOWNSWHAT),12/22/20,"$353,000.00","$256,313.00","$138,303.00","$118,010.00",
